home,guest,attendance,game_date
ПАРМА,ЦСКА,6399,2019-02-15
ПАРМА,Калев,5610,2019-04-14
Локомотив-Кубань,ЦСКА,5596,2018-11-11
ПАРМА,Стелмет Зелена Гура,5320,2019-05-04
УНИКС,ЦСКА,5144,2019-11-02
Зенит,ЦСКА,5052,2019-01-20
УНИКС,Химки,4983,2019-02-15
Зенит,Цмоки-Минск,4977,2019-03-30
Калев,ЦСКА,4900,2018-12-30
УНИКС,Зенит,4727,2019-04-14
Зенит,Локомотив-Кубань,4376,2019-04-21
ПАРМА,Астана,4340,2019-02-27
ПАРМА,ВЭФ,4310,2019-10-03
ПАРМА,Автодор,4228,2019-02-03
Зенит,Автодор,4227,2019-10-03
Локомотив-Кубань,Зенит,4147,2018-05-10
Зенит,Химки,4031,2019-03-02
ПАРМА,Химки,4001,2018-10-22
ПАРМА,Зенит,3973,2019-06-01
Зенит,УНИКС,3751,2018-08-12
ПАРМА,Енисей,3721,2019-03-15
Зенит,Астана,3616,2019-04-27
ЦСКА,Локомотив-Кубань,3577,2019-03-02
ЦСКА,Зенит,3524,2019-07-04
УНИКС,Астана,3523,2019-02-03
Стелмет Зелена Гура,ЦСКА,3507,2019-11-03
Локомотив-Кубань,Химки,3408,2019-01-04
Зенит,Енисей,3408,2018-03-11
Локомотив-Кубань,Астана,3377,2018-09-12
Химки,ЦСКА,3374,2019-04-03
ПАРМА,Цмоки-Минск,3331,2018-03-11
УНИКС,Автодор,3260,2018-07-10
ПАРМА,Локомотив-Кубань,3259,2019-01-27
Химки,УНИКС,3213,2018-10-28
Локомотив-Кубань,УНИКС,3201,2019-03-16
ПАРМА,УНИКС,3169,2018-12-16
УНИКС,Цмоки-Минск,3164,2018-12-23
УНИКС,ПАРМА,3153,2019-04-18
УНИКС,Локомотив-Кубань,3153,2018-10-14
ВЭФ,Калев,3150,2018-10-31
Химки,Калев,3137,2018-10-14
УНИКС,Калев,3124,2019-01-19
УНИКС,ВЭФ,3120,2018-04-11
Автодор,ЦСКА,3115,2019-03-25
ЦСКА,Химки,3102,2019-01-14
ПАРМА,Нижний Новгород,3039,2019-02-02
Стелмет Зелена Гура,Локомотив-Кубань,2925,2018-12-22
Химки,Локомотив-Кубань,2899,2019-11-02
Химки,Цмоки-Минск,2895,2019-01-20
ЦСКА,ВЭФ,2893,2019-06-01
Зенит,ПАРМА,2877,2018-11-11
Зенит,ВЭФ,2837,2019-02-14
Стелмет Зелена Гура,Химки,2832,2018-09-12
Химки,Автодор,2831,2018-11-18
Локомотив-Кубань,Цмоки-Минск,2797,2018-12-16
Автодор,Локомотив-Кубань,2732,2019-01-19
Локомотив-Кубань,ВЭФ,2729,2018-10-20
Локомотив-Кубань,Енисей,2673,2019-02-03
Автодор,УНИКС,2638,2019-04-21
Зенит,Стелмет Зелена Гура,2613,2018-11-24
Зенит,Калев,2589,2018-11-18
Енисей,ЦСКА,2570,2018-05-10
Локомотив-Кубань,Нижний Новгород,2563,2019-02-15
УНИКС,Енисей,2527,2019-06-01
Нижний Новгород,ЦСКА,2510,2019-09-04
УНИКС,Нижний Новгород,2500,2018-11-17
Локомотив-Кубань,Стелмет Зелена Гура,2500,2019-06-01
Локомотив-Кубань,Автодор,2463,2019-09-04
Стелмет Зелена Гура,Автодор,2460,2019-10-02
Химки,Нижний Новгород,2443,2018-12-16
Стелмет Зелена Гура,Нижний Новгород,2438,2018-03-11
Зенит,Нижний Новгород,2411,2019-01-13
Стелмет Зелена Гура,Астана,2344,2018-10-29
Стелмет Зелена Гура,Енисей,2342,2019-01-26
Химки,Енисей,2337,2019-04-24
Химки,Астана,2323,2019-03-25
Химки,ПАРМА,2311,2019-04-28
ЦСКА,Автодор,2311,2018-04-11
Калев,Химки,2300,2019-03-17
Автодор,Нижний Новгород,2300,2019-04-14
Автодор,Химки,2294,2019-01-28
ЦСКА,Цмоки-Минск,2273,2018-11-18
Автодор,Астана,2241,2019-02-02
Стелмет Зелена Гура,Зенит,2204,2019-03-16
Нижний Новгород,УНИКС,2176,2019-01-26
Стелмет Зелена Гура,ВЭФ,2144,2019-03-03
ЦСКА,УНИКС,2142,2019-01-04
Стелмет Зелена Гура,ПАРМА,2141,2019-01-18
Химки,Стелмет Зелена Гура,2139,2019-08-04
УНИКС,Стелмет Зелена Гура,2087,2018-10-20
Нижний Новгород,Стелмет Зелена Гура,2068,2019-03-24
Нижний Новгород,Автодор,2051,2018-07-12
Локомотив-Кубань,ПАРМА,2050,2018-11-18
Стелмет Зелена Гура,УНИКС,2045,2019-04-28
Автодор,ПАРМА,2013,2019-01-13
Локомотив-Кубань,Калев,2013,2018-03-11
Калев,Стелмет Зелена Гура,2000,2018-11-13
Калев,Автодор,2000,2018-10-27
Нижний Новгород,Локомотив-Кубань,1990,2018-10-27
Стелмет Зелена Гура,Цмоки-Минск,1983,2019-04-21
Автодор,Калев,1971,2019-02-14
Нижний Новгород,Астана,1961,2019-06-01
Нижний Новгород,Цмоки-Минск,1958,2019-04-28
Нижний Новгород,Калев,1934,2018-07-10
Химки,ВЭФ,1917,2018-12-11
Автодор,Зенит,1915,2018-12-15
Автодор,Енисей,1841,2018-10-20
Автодор,ВЭФ,1828,2018-11-25
Нижний Новгород,Химки,1822,2019-04-17
Автодор,Стелмет Зелена Гура,1808,2019-03-31
Нижний Новгород,ПАРМА,1808,2018-12-23
Стелмет Зелена Гура,Калев,1801,2019-03-28
Астана,Цмоки-Минск,1768,2019-03-17
Астана,Енисей,1758,2019-04-21
Калев,ВЭФ,1750,2019-04-02
Химки,Зенит,1713,2018-12-24
ЦСКА,ПАРМА,1703,2018-10-29
Астана,ВЭФ,1654,2019-01-27
ЦСКА,Нижний Новгород,1640,2018-10-13
ЦСКА,Астана,1629,2019-11-04
Енисей,Химки,1500,2018-08-10
Астана,Калев,1487,2018-12-16
ЦСКА,Енисей,1424,2018-10-12
Цмоки-Минск,Астана,1420,2018-10-13
Цмоки-Минск,ЦСКА,1365,2019-01-27
Нижний Новгород,ВЭФ,1334,2019-03-20
ЦСКА,Стелмет Зелена Гура,1322,2019-01-30
Калев,Астана,1300,2019-11-03
Калев,Локомотив-Кубань,1300,2019-04-24
Енисей,Автодор,1300,2019-04-28
Енисей,Стелмет Зелена Гура,1300,2018-11-18
Енисей,ПАРМА,1237,2018-10-14
ЦСКА,Калев,1207,2018-10-22
Енисей,Зенит,1200,2019-03-24
Калев,Зенит,1200,2019-04-17
Калев,Цмоки-Минск,1200,2019-03-03
Автодор,Цмоки-Минск,1181,2018-10-11
Астана,ПАРМА,1156,2019-03-30
Енисей,Локомотив-Кубань,1150,2018-11-24
Енисей,УНИКС,1100,2018-10-11
ВЭФ,ЦСКА,1100,2018-12-23
Енисей,Астана,1100,2019-01-20
Цмоки-Минск,Автодор,1086,2019-05-01
Астана,УНИКС,1078,2019-12-01
Астана,ЦСКА,1072,2018-07-10
Цмоки-Минск,Калев,1060,2019-01-13
Цмоки-Минск,Стелмет Зелена Гура,1057,2018-07-10
Астана,Автодор,1034,2018-12-23
Астана,Нижний Новгород,1029,2018-10-11
Цмоки-Минск,ПАРМА,1004,2019-03-24
Енисей,Нижний Новгород,1000,2019-03-31
Енисей,Калев,1000,2018-12-22
Цмоки-Минск,Зенит,966,2019-10-02
Калев,ПАРМА,950,2018-07-12
Цмоки-Минск,ВЭФ,949,2018-08-12
Астана,Стелмет Зелена Гура,923,2019-12-02
Астана,Химки,916,2018-05-11
Енисей,ВЭФ,900,2018-12-16
Калев,УНИКС,900,2019-09-04
Калев,Нижний Новгород,850,2019-04-20
Калев,Енисей,850,2019-11-02
Цмоки-Минск,Нижний Новгород,823,2018-10-20
Нижний Новгород,Енисей,817,2019-08-03
Астана,Зенит,809,2018-10-21
Енисей,Цмоки-Минск,800,2019-04-04
Нижний Новгород,Зенит,792,2019-01-03
Цмоки-Минск,Химки,763,2019-11-04
Цмоки-Минск,Енисей,748,2018-10-27
Астана,Локомотив-Кубань,718,2019-04-15
Цмоки-Минск,УНИКС,709,2019-02-02
ВЭФ,Автодор,600,2019-03-17
ВЭФ,Астана,600,2018-11-19
ВЭФ,Стелмет Зелена Гура,525,2019-01-13
Цмоки-Минск,Локомотив-Кубань,504,2019-03-27
ВЭФ,Химки,500,2018-05-10
ВЭФ,УНИКС,450,2019-03-24
ВЭФ,Зенит,450,2018-10-27
ВЭФ,Локомотив-Кубань,315,2019-04-28
ВЭФ,Нижний Новгород,315,2019-01-19
ВЭФ,ПАРМА,300,2018-10-10
ВЭФ,Енисей,230,2019-11-04
ВЭФ,Цмоки-Минск,180,2019-04-14
