Yr,Lg,Series, , ,Team,W, ,Team,W, ,Favorite,Underdog
2011,NBA,Western Conf First Round,"Apr 17 - Apr 27, 2011",,Oklahoma City Thunder (4),,,Denver Nuggets (5),,,OKC (-220),DEN (+170)
2011,NBA,Eastern Conf Semifinals,"May 2 - May 12, 2011",,Chicago Bulls (1),,,Atlanta Hawks (5),,,CHI (-800),ATL (+550)
2011,NBA,Eastern Conf Semifinals,"May 1 - May 11, 2011",,Miami Heat (2),,,Boston Celtics (3),,,MIA (-190),BOS (+165)
2011,NBA,Western Conf Semifinals,"May 2 - May 8, 2011",,Dallas Mavericks (3),,,Los Angeles Lakers (2),,,LAL (-360),DAL (+280)
2011,NBA,Western Conf Semifinals,"May 1 - May 15, 2011",,Oklahoma City Thunder (4),,,Memphis Grizzlies (8),,,OKC (-350),MEM (+275)
2011,NBA,Eastern Conf Finals,"May 15 - May 26, 2011",,Miami Heat (2),,,Chicago Bulls (1),,,MIA (-190),CHI (+160)
2011,NBA,Western Conf Finals,"May 17 - May 25, 2011",,Dallas Mavericks (3),,,Oklahoma City Thunder (4),,,DAL (-240),OKC (+200)
2011,NBA,Finals,"May 31 - Jun 12, 2011",,Dallas Mavericks (3),,,Miami Heat (2),,,MIA (-175),DAL (+155)
,,,,,,,,,,,,
2010,NBA,Eastern Conf First Round,"Apr 17 - Apr 27, 2010",,Cleveland Cavaliers (1),,,Chicago Bulls (8),,,CLE (-3000),CHI (+1400)
2010,NBA,Eastern Conf First Round,"Apr 18 - Apr 26, 2010",,Orlando Magic (2),,,Charlotte Bobcats (7),,,ORL (-1000),CHA (+650)
2010,NBA,Eastern Conf First Round,"Apr 17 - May 2, 2010",,Atlanta Hawks (3),,,Milwaukee Bucks (6),,,ATL (-750),MIL (+550)
2010,NBA,Eastern Conf First Round,"Apr 17 - Apr 27, 2010",,Boston Celtics (4),,,Miami Heat (5),,,BOS (-175),MIA (+155)
2010,NBA,Western Conf First Round,"Apr 18 - Apr 30, 2010",,Los Angeles Lakers (1),,,Oklahoma City Thunder (8),,,LAL (-800),OKC (+600)
2010,NBA,Western Conf First Round,"Apr 18 - Apr 29, 2010",,San Antonio Spurs (7),,,Dallas Mavericks (2),,,DAL (-150),SAS (+130)
2010,NBA,Western Conf First Round,"Apr 18 - Apr 29, 2010",,Phoenix Suns (3),,,Portland Trail Blazers (6),,,PHO (-500),POR (+400)
2010,NBA,Western Conf First Round,"Apr 17 - Apr 30, 2010",,Utah Jazz (5),,,Denver Nuggets (4),,,DEN (-175),UTA (+150)
2010,NBA,Eastern Conf Semifinals,"May 1 - May 13, 2010",,Boston Celtics (4),,,Cleveland Cavaliers (1),,,CLE (-480),BOS (+380)
2010,NBA,Eastern Conf Semifinals,"May 4 - May 10, 2010",,Orlando Magic (2),,,Atlanta Hawks (3),,,ORL (-800),ATL (+550)
2010,NBA,Western Conf Semifinals,"May 2 - May 10, 2010",,Los Angeles Lakers (1),,,Utah Jazz (5),,,LAL (-420),UTA (+310)
2010,NBA,Western Conf Semifinals,"May 3 - May 9, 2010",,Phoenix Suns (3),,,San Antonio Spurs (7),,,PHO (-140),SAS (+120)
2010,NBA,Western Conf Finals,"May 17 - May 29, 2010",,Los Angeles Lakers (1),,,Phoenix Suns (3),,,LAL (-340),PHO (+270)
2010,NBA,Eastern Conf Finals,"May 16 - May 28, 2010",,Boston Celtics (4),,,Orlando Magic (2),,,ORL (-260),BOS (+220)
2010,NBA,Finals,"Jun 3 - Jun 17, 2010",,Los Angeles Lakers (1),,,Boston Celtics (4),,,LAL (-190),BOS (+165)
,,,,,,,,,,,,
2009,NBA,Eastern Conf First Round,"Apr 18 - Apr 26, 2009",,Cleveland Cavaliers (1),,,Detroit Pistons (8),,,CLE (-5000),DET (+3000)
2009,NBA,Eastern Conf First Round,"Apr 18 - May 2, 2009",,Boston Celtics (2),,,Chicago Bulls (7),,,BOS (-545),CHI (+405)
2009,NBA,Eastern Conf First Round,"Apr 19 - Apr 30, 2009",,Orlando Magic (3),,,Philadelphia 76ers (6),,,ORL (-1400),PHI (+800)
2009,NBA,Eastern Conf First Round,"Apr 19 - May 3, 2009",,Atlanta Hawks (4),,,Miami Heat (5),,,ATL (-145),MIA (+125)
2009,NBA,Western Conf First Round,"Apr 19 - Apr 27, 2009",,Los Angeles Lakers (1),,,Utah Jazz (8),,,LAL (-2000),UTA (+1200)
2009,NBA,Western Conf First Round,"Apr 19 - Apr 29, 2009",,Denver Nuggets (2),,,New Orleans Hornets (7),,,DEN (-210),NOH (+175)
2009,NBA,Western Conf First Round,"Apr 18 - Apr 28, 2009",,Dallas Mavericks (6),,,San Antonio Spurs (3),,,SAS (-190),DAL (+160)
2009,NBA,Western Conf First Round,"Apr 18 - Apr 30, 2009",,Houston Rockets (5),,,Portland Trail Blazers (4),,,POR (-175),HOU (+150)
2009,NBA,Western Conf Semifinals,"May 4 - May 17, 2009",,Los Angeles Lakers (1),,,Houston Rockets (5),,,LAL (-1100),HOU (+700)
2009,NBA,Western Conf Semifinals,"May 3 - May 13, 2009",,Denver Nuggets (2),,,Dallas Mavericks (6),,,DEN (-240),DAL (+200)
2009,NBA,Eastern Conf Semifinals,"May 5 - May 11, 2009",,Cleveland Cavaliers (1),,,Atlanta Hawks (4),,,CLE (-2450),ATL (+1000)
2009,NBA,Eastern Conf Semifinals,"May 4 - May 17, 2009",,Orlando Magic (3),,,Boston Celtics (2),,,BOS (-120),ORL (+100)
2009,NBA,Eastern Conf Finals,"May 20 - May 30, 2009",,Orlando Magic (3),,,Cleveland Cavaliers (1),,,CLE (-700),ORL (+550)
2009,NBA,Western Conf Finals,"May 19 - May 29, 2009",,Los Angeles Lakers (1),,,Denver Nuggets (2),,,LAL (-250),DEN (+210)
2009,NBA,Finals,"Jun 4 - Jun 14, 2009",,Los Angeles Lakers (1),,,Orlando Magic (3),,,LAL (-280),ORL (+240)
Yr,Lg,Series, , ,Team,W, ,Team,W, ,Favorite,Underdog
2008,NBA,Eastern Conf First Round,"Apr 20 - May 4, 2008",,Boston Celtics (1),,,Atlanta Hawks (8),,,BOS (-8000),ATL (+4000)
2008,NBA,Eastern Conf First Round,"Apr 20 - May 1, 2008",,Detroit Pistons (2),,,Philadelphia 76ers (7),,,DET (-1300),PHI (+850)
2008,NBA,Eastern Conf First Round,"Apr 20 - Apr 28, 2008",,Orlando Magic (3),,,Toronto Raptors (6),,,ORL (-310),TOR (+260)
2008,NBA,Eastern Conf First Round,"Apr 19 - May 2, 2008",,Cleveland Cavaliers (4),,,Washington Wizards (5),,,CLE (-115),WAS (-105)
2008,NBA,Western Conf First Round,"Apr 20 - Apr 28, 2008",,Los Angeles Lakers (1),,,Denver Nuggets (8),,,LAL (-560),DEN (+460)
2008,NBA,Western Conf First Round,"Apr 19 - Apr 29, 2008",,New Orleans Hornets (2),,,Dallas Mavericks (7),,,NOH (-145),DAL (+125)
2008,NBA,Western Conf First Round,"Apr 19 - Apr 29, 2008",,San Antonio Spurs (3),,,Phoenix Suns (6),,,SAS (-140),PHO (+120)
2008,NBA,Western Conf First Round,"Apr 19 - May 2, 2008",,Utah Jazz (4),,,Houston Rockets (5),,,UTA (-215),HOU (+185)
2008,NBA,Eastern Conf Semifinals,"May 6 - May 18, 2008",,Boston Celtics (1),,,Cleveland Cavaliers (4),,,BOS (-900),CLE (+600)
2008,NBA,Eastern Conf Semifinals,"May 3 - May 13, 2008",,Detroit Pistons (2),,,Orlando Magic (3),,,DET (-305),ORL (+255)
2008,NBA,Western Conf Semifinals,"May 4 - May 16, 2008",,Los Angeles Lakers (1),,,Utah Jazz (4),,,LAL (-350),UTA (+290)
2008,NBA,Western Conf Semifinals,"May 3 - May 19, 2008",,San Antonio Spurs (3),,,New Orleans Hornets (2),,,SAS (-135),NOH (+115)
2008,NBA,Eastern Conf Finals,"May 20 - May 30, 2008",,Boston Celtics (1),,,Detroit Pistons (2),,,BOS (-135),DET (+115)
2008,NBA,Western Conf Finals,"May 21 - May 29, 2008",,Los Angeles Lakers (1),,,San Antonio Spurs (3),,,LAL (-250),SAS (+210)
2008,NBA,Finals,"Jun 5 - Jun 17, 2008",,Boston Celtics (1),,,Los Angeles Lakers (1),,,LAL (-180),BOS (+160)
,,,,,,,,,,,,
2007,NBA,Eastern Conf First Round,"Apr 21 - Apr 29, 2007",,Chicago Bulls (5),,,Miami Heat (4),,,CHI (-140),MIA (+120)
2007,NBA,Eastern Conf First Round,"Apr 22 - Apr 30, 2007",,Cleveland Cavaliers (2),,,Washington Wizards (7),,,CLE (-2400),WAS (+1600)
2007,NBA,Eastern Conf First Round,"Apr 21 - Apr 28, 2007",,Detroit Pistons (1),,,Orlando Magic (8),,,DET (-2200),ORL (+1400)
2007,NBA,Eastern Conf First Round,"Apr 21 - May 4, 2007",,New Jersey Nets (6),,,Toronto Raptors (3),,,TOR (-165),NJN (+145)
2007,NBA,Western Conf First Round,"Apr 22 - May 3, 2007",,Golden State Warriors (8),,,Dallas Mavericks (1),,,DAL (-1800),GSW (+1200)
2007,NBA,Western Conf First Round,"Apr 22 - May 2, 2007",,Phoenix Suns (2),,,Los Angeles Lakers (7),,,PHO (-1600),LAL (+1000)
2007,NBA,Western Conf First Round,"Apr 22 - May 2, 2007",,San Antonio Spurs (3),,,Denver Nuggets (6),,,SAS (-750),DEN (+550)
2007,NBA,Western Conf First Round,"Apr 21 - May 5, 2007",,Utah Jazz (4),,,Houston Rockets (5),,,HOU (-240),UTA (+200)
2007,NBA,Eastern Conf Semifinals,"May 6 - May 18, 2007",,Cleveland Cavaliers (2),,,New Jersey Nets (6),,,CLE (-260),NJN (+220)
2007,NBA,Eastern Conf Semifinals,"May 5 - May 17, 2007",,Detroit Pistons (1),,,Chicago Bulls (5),,,DET (-175),CHI (+155)
2007,NBA,Western Conf Semifinals,"May 6 - May 18, 2007",,San Antonio Spurs (3),,,Phoenix Suns (2),,,PHO (-150),SAS (+130)
2007,NBA,Western Conf Semifinals,"May 7 - May 15, 2007",,Utah Jazz (4),,,Golden State Warriors (8),,,UTA (-135),GSW (+115)
2007,NBA,Eastern Conf Finals,"May 21 - Jun 2, 2007",,Cleveland Cavaliers (2),,,Detroit Pistons (1),,,DET (-330),CLE (+270)
2007,NBA,Western Conf Finals,"May 20 - May 30, 2007",,San Antonio Spurs (3),,,Utah Jazz (4),,,SAS (-440),UTA (+350)
2007,NBA,Finals,"Jun 7 - Jun 14, 2007",,San Antonio Spurs (3),,,Cleveland Cavaliers (2),,,SAS (-450),CLE (+360)
,,,,,,,,,,,,
2006,NBA,Eastern Conf First Round,"Apr 22 - May 5, 2006",,Cleveland Cavaliers (4),,,Washington Wizards (5),,,CLE (-180),WAS (+160)
2006,NBA,Eastern Conf First Round,"Apr 23 - May 3, 2006",,Detroit Pistons (1),,,Milwaukee Bucks (8),,,DET (-5500),MIL (+3250)
2006,NBA,Eastern Conf First Round,"Apr 22 - May 4, 2006",,Miami Heat (2),,,Chicago Bulls (7),,,MIA (-850),CHI (+625)
2006,NBA,Eastern Conf First Round,"Apr 23 - May 4, 2006",,New Jersey Nets (3),,,Indiana Pacers (6),,,NJN (-325),IND (+275)
2006,NBA,Western Conf First Round,"Apr 23 - May 1, 2006",,Dallas Mavericks (4),,,Memphis Grizzlies (5),,,DAL (-725),MEM (+525)
2006,NBA,Western Conf First Round,"Apr 22 - May 1, 2006",,Los Angeles Clippers (6),,,Denver Nuggets (3),,,LAC (-185),DEN (+145)
2006,NBA,Western Conf First Round,"Apr 23 - May 6, 2006",,Phoenix Suns (2),,,Los Angeles Lakers (7),,,PHO (-360),LAL (+300)
2006,NBA,Western Conf First Round,"Apr 22 - May 5, 2006",,San Antonio Spurs (1),,,Sacramento Kings (8),,,SAS (-1050),SAC (+725)
2006,NBA,Eastern Conf Semifinals,"May 7 - May 21, 2006",,Detroit Pistons (1),,,Cleveland Cavaliers (4),,,DET (-2000),CLE (+1200)
2006,NBA,Eastern Conf Semifinals,"May 8 - May 16, 2006",,Miami Heat (2),,,New Jersey Nets (3),,,MIA (-190),NJN (+160)
2006,NBA,Western Conf Semifinals,"May 7 - May 22, 2006",,Dallas Mavericks (4),,,San Antonio Spurs (1),,,SAS (-180),DAL (+150)
2006,NBA,Western Conf Semifinals,"May 8 - May 22, 2006",,Phoenix Suns (2),,,Los Angeles Clippers (6),,,PHO (-205),LAC (+185)
2006,NBA,Eastern Conf Finals,"May 23 - Jun 2, 2006",,Miami Heat (2),,,Detroit Pistons (1),,,DET (-245),MIA (+205)
2006,NBA,Western Conf Finals,"May 24 - Jun 3, 2006",,Dallas Mavericks (4),,,Phoenix Suns (2),,,DAL (-355),PHO (+295)
2006,NBA,Finals,"Jun 8 - Jun 20, 2006",,Miami Heat (2),,,Dallas Mavericks (4),,,DAL (-150),MIA (+130)
Yr,Lg,Series, , ,Team,W, ,Team,W, ,Favorite,Underdog
2005,NBA,Eastern Conf First Round,"Apr 23 - May 3, 2005",,Detroit Pistons (2),,,Philadelphia 76ers (7),,,DET (-1200),PHI (+800)
2005,NBA,Eastern Conf First Round,"Apr 23 - May 7, 2005",,Indiana Pacers (6),,,Boston Celtics (3),,,BOS (-135),IND (+115)
2005,NBA,Eastern Conf First Round,"Apr 24 - May 1, 2005",,Miami Heat (1),,,New Jersey Nets (8),,,MIA (-1200),NJN (+800)
2005,NBA,Eastern Conf First Round,"Apr 24 - May 6, 2005",,Washington Wizards (5),,,Chicago Bulls (4),,,CHI (-145),WAS (+125)
2005,NBA,Western Conf First Round,"Apr 23 - May 7, 2005",,Dallas Mavericks (4),,,Houston Rockets (5),,,DAL (-220),HOU (+180)
2005,NBA,Western Conf First Round,"Apr 24 - May 1, 2005",,Phoenix Suns (1),,,Memphis Grizzlies (8),,,PHO (-1200),MEM (+800)
2005,NBA,Western Conf First Round,"Apr 24 - May 4, 2005",,San Antonio Spurs (2),,,Denver Nuggets (7),,,SAS (-500),DEN (+400)
2005,NBA,Western Conf First Round,"Apr 23 - May 3, 2005",,Seattle SuperSonics (3),,,Sacramento Kings (6),,,SAC (-120),SEA (+100)
2005,NBA,Eastern Conf Semifinals,"May 9 - May 19, 2005",,Detroit Pistons (2),,,Indiana Pacers (6),,,DET (-1100),IND (+700)
2005,NBA,Eastern Conf Semifinals,"May 8 - May 14, 2005",,Miami Heat (1),,,Washington Wizards (5),,,MIA (-1800),WAS (+1200)
2005,NBA,Western Conf Semifinals,"May 9 - May 20, 2005",,Phoenix Suns (1),,,Dallas Mavericks (4),,,PHO (-300),DAL (+220)
2005,NBA,Western Conf Semifinals,"May 8 - May 19, 2005",,San Antonio Spurs (2),,,Seattle SuperSonics (3),,,SAS (-1200),SEA (+800)
2005,NBA,Eastern Conf Finals,"May 23 - Jun 6, 2005",,Detroit Pistons (2),,,Miami Heat (1),,,MIA (-130),DET (+110)
2005,NBA,Western Conf Finals,"May 22 - Jun 1, 2005",,San Antonio Spurs (2),,,Phoenix Suns (1),,,SAS (-160),PHO (+140)
2005,NBA,Finals,"Jun 9 - Jun 23, 2005",,San Antonio Spurs (2),,,Detroit Pistons (2),,,SAS (-250),DET (+200)
,,,,,,,,,,,,
2004,NBA,Eastern Conf First Round,"Apr 18 - Apr 29, 2004",,Detroit Pistons (3),,,Milwaukee Bucks (6),,,DET (-1780),MIL (+1430)
2004,NBA,Eastern Conf First Round,"Apr 17 - Apr 25, 2004",,Indiana Pacers (1),,,Boston Celtics (8),,,IND (-1980),BOS (+1520)
2004,NBA,Eastern Conf First Round,"Apr 18 - May 4, 2004",,Miami Heat (4),,,New Orleans Hornets (5),,,MIA (-277),NOH (+243)
2004,NBA,Eastern Conf First Round,"Apr 17 - Apr 25, 2004",,New Jersey Nets (2),,,New York Knicks (7),,,NJN (-580),NYK (+500)
2004,NBA,Western Conf First Round,"Apr 17 - Apr 28, 2004",,Los Angeles Lakers (2),,,Houston Rockets (7),,,LAL (-1080),HOU (+920)
2004,NBA,Western Conf First Round,"Apr 18 - Apr 30, 2004",,Minnesota Timberwolves (1),,,Denver Nuggets (8),,,MIN (-1920),DEN (+1540)
2004,NBA,Western Conf First Round,"Apr 18 - Apr 29, 2004",,Sacramento Kings (4),,,Dallas Mavericks (5),,,SAC (-164),DAL (+148)
2004,NBA,Western Conf First Round,"Apr 17 - Apr 25, 2004",,San Antonio Spurs (3),,,Memphis Grizzlies (6),,,SAS (-1080),MEM (+920)
2004,NBA,Eastern Conf Semifinals,"May 3 - May 20, 2004",,Detroit Pistons (3),,,New Jersey Nets (2),,,DET (-210),NJN (+180)
2004,NBA,Eastern Conf Semifinals,"May 6 - May 18, 2004",,Indiana Pacers (1),,,Miami Heat (4),,,IND (-2300),MIA (+1600)
2004,NBA,Western Conf Semifinals,"May 2 - May 15, 2004",,Los Angeles Lakers (2),,,San Antonio Spurs (3),,,SAS (-240),LAL (+200)
2004,NBA,Western Conf Semifinals,"May 4 - May 19, 2004",,Minnesota Timberwolves (1),,,Sacramento Kings (4),,,MIN (-160),SAC (+140)
2004,NBA,Eastern Conf Finals,"May 22 - Jun 1, 2004",,Detroit Pistons (3),,,Indiana Pacers (1),,,IND (-165),DET (+145)
2004,NBA,Western Conf Finals,"May 21 - May 31, 2004",,Los Angeles Lakers (2),,,Minnesota Timberwolves (1),,,LAL (-330),MIN (+270)
2004,NBA,Finals,"Jun 6 - Jun 15, 2004",,Detroit Pistons (3),,,Los Angeles Lakers (2),,,LAL (-700),DET (+500)
,,,,,,,,,,,,
2003,NBA,Eastern Conf First Round,"Apr 19 - May 1, 2003",,Boston Celtics (6),,,Indiana Pacers (3),,,IND (-340),BOS (+280)
2003,NBA,Eastern Conf First Round,"Apr 20 - May 4, 2003",,Detroit Pistons (1),,,Orlando Magic (8),,,DET (-220),ORL (+180)
2003,NBA,Eastern Conf First Round,"Apr 19 - May 1, 2003",,New Jersey Nets (2),,,Milwaukee Bucks (7),,,NJN (-280),MIL (+230)
2003,NBA,Eastern Conf First Round,"Apr 20 - May 2, 2003",,Philadelphia 76ers (4),,,New Orleans Hornets (5),,,PHI (-179),NOH (+150)
2003,NBA,Western Conf First Round,"Apr 19 - May 4, 2003",,Dallas Mavericks (3),,,Portland Trail Blazers (6),,,DAL (-400),POR (+320)
2003,NBA,Western Conf First Round,"Apr 20 - May 1, 2003",,Los Angeles Lakers (5),,,Minnesota Timberwolves (4),,,LAL (-400),MIN (+320)
2003,NBA,Western Conf First Round,"Apr 19 - Apr 30, 2003",,Sacramento Kings (2),,,Utah Jazz (7),,,SAC (-1400),UTA (+1000)
2003,NBA,Western Conf First Round,"Apr 19 - May 1, 2003",,San Antonio Spurs (1),,,Phoenix Suns (8),,,SAS (-1000),PHO (+700)
2003,NBA,Eastern Conf Semifinals,"May 6 - May 16, 2003",,Detroit Pistons (1),,,Philadelphia 76ers (4),,,PHI (-150),DET (+130)
2003,NBA,Eastern Conf Semifinals,"May 5 - May 12, 2003",,New Jersey Nets (2),,,Boston Celtics (6),,,NJN (-380),BOS (+320)
2003,NBA,Western Conf Semifinals,"May 6 - May 17, 2003",,Dallas Mavericks (3),,,Sacramento Kings (2),,,SAC (-280),DAL (+240)
2003,NBA,Western Conf Semifinals,"May 5 - May 15, 2003",,San Antonio Spurs (1),,,Los Angeles Lakers (5),,,LAL (-145),SAS (+125)
2003,NBA,Eastern Conf Finals,"May 18 - May 24, 2003",,New Jersey Nets (2),,,Detroit Pistons (1),,,NJN (-300),DET (+250)
2003,NBA,Western Conf Finals,"May 19 - May 29, 2003",,San Antonio Spurs (1),,,Dallas Mavericks (3),,,SAS (-380),DAL (+320)
2003,NBA,Finals,"Jun 4 - Jun 15, 2003",,San Antonio Spurs (1),,,New Jersey Nets (2),,,SAS (-330),NJN (+260)
Yr,Lg,Series, , ,Team,W, ,Team,W, ,Favorite,Underdog
2002,NBA,Eastern Conf First Round,"Apr 21 - May 3, 2002",,Boston Celtics (3),,,Philadelphia 76ers (6),,,BOS (-200),PHI (+170)
2002,NBA,Eastern Conf First Round,"Apr 20 - Apr 30, 2002",,Charlotte Hornets (4),,,Orlando Magic (5),,,CHH (-300),ORL (+250)
2002,NBA,Eastern Conf First Round,"Apr 21 - May 2, 2002",,Detroit Pistons (2),,,Toronto Raptors (7),,,DET (-450),TOR (+325)
2002,NBA,Eastern Conf First Round,"Apr 20 - May 2, 2002",,New Jersey Nets (1),,,Indiana Pacers (8),,,NJN (-400),IND (+300)
2002,NBA,Western Conf First Round,"Apr 21 - Apr 28, 2002",,Dallas Mavericks (4),,,Minnesota Timberwolves (5),,,DAL (-500),MIN (+400)
2002,NBA,Western Conf First Round,"Apr 21 - Apr 28, 2002",,Los Angeles Lakers (3),,,Portland Trail Blazers (6),,,LAL (-600),POR (+450)
2002,NBA,Western Conf First Round,"Apr 20 - Apr 29, 2002",,Sacramento Kings (1),,,Utah Jazz (8),,,SAC (-2000),UTA (+1400)
2002,NBA,Western Conf First Round,"Apr 20 - May 3, 2002",,San Antonio Spurs (2),,,Seattle SuperSonics (7),,,SAS (-750),SEA (+550)
2002,NBA,Eastern Conf Semifinals,"May 5 - May 14, 2002",,Boston Celtics (3),,,Detroit Pistons (2),,,DET (-125),BOS (+105)
2002,NBA,Eastern Conf Semifinals,"May 5 - May 15, 2002",,New Jersey Nets (1),,,Charlotte Hornets (4),,,NJN (-160),CHH (+140)
2002,NBA,Western Conf Semifinals,"May 5 - May 14, 2002",,Los Angeles Lakers (3),,,San Antonio Spurs (2),,,LAL (-650),SAS (+450)
2002,NBA,Western Conf Semifinals,"May 4 - May 13, 2002",,Sacramento Kings (1),,,Dallas Mavericks (4),,,SAC (-155),DAL (+135)
2002,NBA,Eastern Conf Finals,"May 19 - May 31, 2002",,New Jersey Nets (1),,,Boston Celtics (3),,,NJN (-135),BOS (+115)
2002,NBA,Western Conf Finals,"May 18 - Jun 2, 2002",,Los Angeles Lakers (3),,,Sacramento Kings (1),,,LAL (-230),SAC (+190)
2002,NBA,Finals,"Jun 5 - Jun 12, 2002",,Los Angeles Lakers (3),,,New Jersey Nets (1),,,LAL (-750),NJN (+550)
,,,,,,,,,,,,
2001,NBA,Eastern Conf First Round,"Apr 21 - Apr 27, 2001",,Charlotte Hornets (6),,,Miami Heat (3),,,MIA (-180),CHH (+160)
2001,NBA,Eastern Conf First Round,"Apr 22 - May 1, 2001",,Milwaukee Bucks (2),,,Orlando Magic (7),,,MIL (-500),ORL (+350)
2001,NBA,Eastern Conf First Round,"Apr 21 - May 2, 2001",,Philadelphia 76ers (1),,,Indiana Pacers (8),,,PHI (-600),IND (+400)
