Yr,Lg,Series, , ,Team,W, ,Team,W, ,Favorite,Underdog
2001,NBA,Eastern Conf First Round,"Apr 22 - May 4, 2001",,Toronto Raptors (5),,,New York Knicks (4),,,NYK (-170),TOR (+150)
2001,NBA,Western Conf First Round,"Apr 21 - May 3, 2001",,Dallas Mavericks (5),,,Utah Jazz (4),,,UTA (-180),DAL (+160)
2001,NBA,Western Conf First Round,"Apr 22 - Apr 29, 2001",,Los Angeles Lakers (2),,,Portland Trail Blazers (7),,,LAL (-400),POR (+300)
2001,NBA,Western Conf First Round,"Apr 22 - May 2, 2001",,Sacramento Kings (3),,,Phoenix Suns (6),,,SAC (-400),PHO (+300)
2001,NBA,Western Conf First Round,"Apr 21 - Apr 30, 2001",,San Antonio Spurs (1),,,Minnesota Timberwolves (8),,,SAS (-900),MIN (+600)
2001,NBA,Eastern Conf Semifinals,"May 6 - May 20, 2001",,Milwaukee Bucks (2),,,Charlotte Hornets (6),,,MIL (-230),CHH (+190)
2001,NBA,Eastern Conf Semifinals,"May 6 - May 20, 2001",,Philadelphia 76ers (1),,,Toronto Raptors (5),,,PHI (-340),TOR (+280)
2001,NBA,Western Conf Semifinals,"May 6 - May 13, 2001",,Los Angeles Lakers (2),,,Sacramento Kings (3),,,LAL (-360),SAC (+290)
2001,NBA,Western Conf Semifinals,"May 5 - May 14, 2001",,San Antonio Spurs (1),,,Dallas Mavericks (5),,,SAS (-650),DAL (+450)
2001,NBA,Eastern Conf Finals,"May 22 - Jun 3, 2001",,Philadelphia 76ers (1),,,Milwaukee Bucks (2),,,PHI (-180),MIL (+160)
2001,NBA,Western Conf Finals,"May 19 - May 27, 2001",,Los Angeles Lakers (2),,,San Antonio Spurs (1),,,LAL (-145),SAS (+125)
2001,NBA,Finals,"Jun 6 - Jun 15, 2001",,Los Angeles Lakers (2),,,Philadelphia 76ers (1),,,LAL (-2000),PHI (+1600)
,,,,,,,,,,,,
2000,NBA,Eastern Conf First Round,"Apr 23 - May 4, 2000",,Indiana Pacers (1),,,Milwaukee Bucks (8),,,IND (-800),MIL (+550)
2000,NBA,Eastern Conf First Round,"Apr 22 - Apr 29, 2000",,Miami Heat (2),,,Detroit Pistons (7),,,MIA (-1200),DET (+1000)
2000,NBA,Eastern Conf First Round,"Apr 23 - Apr 30, 2000",,New York Knicks (3),,,Toronto Raptors (6),,,NYK (-230),TOR (+190)
2000,NBA,Eastern Conf First Round,"Apr 22 - May 1, 2000",,Philadelphia 76ers (5),,,Charlotte Hornets (4),,,CHH (-140),PHI (+120)
2000,NBA,Western Conf First Round,"Apr 23 - May 5, 2000",,Los Angeles Lakers (1),,,Sacramento Kings (8),,,LAL (-2000),SAC (+1200)
2000,NBA,Western Conf First Round,"Apr 22 - May 2, 2000",,Phoenix Suns (5),,,San Antonio Spurs (4),,,PHO (-1200),SAS (+115)
2000,NBA,Western Conf First Round,"Apr 23 - May 2, 2000",,Portland Trail Blazers (3),,,Minnesota Timberwolves (6),,,POR (-330),MIN (+250)
2000,NBA,Western Conf First Round,"Apr 22 - May 5, 2000",,Utah Jazz (2),,,Seattle SuperSonics (7),,,UTA (-650),SEA (+450)
2000,NBA,Eastern Conf Semifinals,"May 6 - May 19, 2000",,Indiana Pacers (1),,,Philadelphia 76ers (5),,,IND (-185),PHI (+165)
2000,NBA,Eastern Conf Semifinals,"May 7 - May 21, 2000",,New York Knicks (3),,,Miami Heat (2),,,MIA (-155),NYK (+135)
2000,NBA,Western Conf Semifinals,"May 7 - May 16, 2000",,Los Angeles Lakers (1),,,Phoenix Suns (5),,,LAL (-2200),PHO (+1500)
2000,NBA,Western Conf Semifinals,"May 7 - May 16, 2000",,Portland Trail Blazers (3),,,Utah Jazz (2),,,POR (-240),UTA (+190)
2000,NBA,Eastern Conf Finals,"May 23 - Jun 2, 2000",,Indiana Pacers (1),,,New York Knicks (3),,,IND (-260),NYK (+220)
2000,NBA,Western Conf Finals,"May 20 - Jun 4, 2000",,Los Angeles Lakers (1),,,Portland Trail Blazers (3),,,LAL (-340),POR (+280)
2000,NBA,Finals,"Jun 7 - Jun 19, 2000",,Los Angeles Lakers (1),,,Indiana Pacers (1),,,LAL (-800),IND (+550)
Yr,Lg,Series, , ,Team,W, ,Team,W, ,Favorite,Underdog
1999,NBA,Eastern Conf First Round,"May 8 - May 16, 1999",,Atlanta Hawks (4),,,Detroit Pistons (5),,,ATL (-160),DET (+140)
1999,NBA,Eastern Conf First Round,"May 9 - May 13, 1999",,Indiana Pacers (2),,,Milwaukee Bucks (7),,,IND (-400),MIL (+300)
1999,NBA,Eastern Conf First Round,"May 8 - May 16, 1999",,New York Knicks (8),,,Miami Heat (1),,,MIA (-280),NYK (+230)
1999,NBA,Eastern Conf First Round,"May 9 - May 15, 1999",,Philadelphia 76ers (6),,,Orlando Magic (3),,,ORL (-210),PHI (+175)
1999,NBA,Western Conf First Round,"May 9 - May 15, 1999",,Los Angeles Lakers (4),,,Houston Rockets (5),,,LAL (-165),HOU (+145)
1999,NBA,Western Conf First Round,"May 8 - May 12, 1999",,Portland Trail Blazers (2),,,Phoenix Suns (7),,,POR (-500),PHO (+350)
1999,NBA,Western Conf First Round,"May 9 - May 15, 1999",,San Antonio Spurs (1),,,Minnesota Timberwolves (8),,,SAS (-1500),MIN (+1000)
1999,NBA,Western Conf First Round,"May 8 - May 16, 1999",,Utah Jazz (3),,,Sacramento Kings (6),,,UTA (-1000),SAC (+700)
1999,NBA,Eastern Conf Semifinals,"May 17 - May 23, 1999",,Indiana Pacers (2),,,Philadelphia 76ers (6),,,IND (-400),PHI (+300)
1999,NBA,Eastern Conf Semifinals,"May 18 - May 24, 1999",,New York Knicks (8),,,Atlanta Hawks (4),,,ATL (-135),NYK (+115)
1999,NBA,Western Conf Semifinals,"May 18 - May 27, 1999",,Portland Trail Blazers (2),,,Utah Jazz (3),,,UTA (-125),POR (+105)
1999,NBA,Western Conf Semifinals,"May 17 - May 23, 1999",,San Antonio Spurs (1),,,Los Angeles Lakers (4),,,SAS (-220),LAL (+180)
1999,NBA,Eastern Conf Finals,"May 30 - Jun 11, 1999",,New York Knicks (8),,,Indiana Pacers (2),,,IND (-240),NYK (+200)
1999,NBA,Western Conf Finals,"May 29 - Jun 6, 1999",,San Antonio Spurs (1),,,Portland Trail Blazers (2),,,SAS (-200),POR (+170)
1999,NBA,Finals,"Jun 16 - Jun 25, 1999",,San Antonio Spurs (1),,,New York Knicks (8),,,SAS (-900),NYK (+600)
,,,,,,,,,,,,
1998,NBA,Eastern Conf First Round,"Apr 23 - May 1, 1998",,Charlotte Hornets (4),,,Atlanta Hawks (5),,,CHH (-120),ATL (+100)
1998,NBA,Eastern Conf First Round,"Apr 24 - Apr 29, 1998",,Chicago Bulls (1),,,New Jersey Nets (8),,,CHI (-2500),NJN (+1800)
1998,NBA,Eastern Conf First Round,"Apr 23 - Apr 30, 1998",,Indiana Pacers (3),,,Cleveland Cavaliers (6),,,IND (-450),CLE (+325)
1998,NBA,Eastern Conf First Round,"Apr 24 - May 3, 1998",,New York Knicks (7),,,Miami Heat (2),,,MIA (-500),NYK (+350)
1998,NBA,Western Conf First Round,"Apr 24 - Apr 30, 1998",,Los Angeles Lakers (3),,,Portland Trail Blazers (6),,,LAL (-550),POR (+375)
1998,NBA,Western Conf First Round,"Apr 23 - Apr 29, 1998",,San Antonio Spurs (5),,,Phoenix Suns (4),,,PHO (-135),SAS (+115)
1998,NBA,Western Conf First Round,"Apr 24 - May 2, 1998",,Seattle SuperSonics (2),,,Minnesota Timberwolves (7),,,SEA (-2000),MIN (+1400)
1998,NBA,Western Conf First Round,"Apr 23 - May 3, 1998",,Utah Jazz (1),,,Houston Rockets (8),,,UTA (-850),HOU (+525)
1998,NBA,Eastern Conf Semifinals,"May 3 - May 13, 1998",,Chicago Bulls (1),,,Charlotte Hornets (4),,,CHI (-2000),CHH (+1400)
1998,NBA,Eastern Conf Semifinals,"May 5 - May 13, 1998",,Indiana Pacers (3),,,New York Knicks (7),,,IND (-1100),NYK (+700)
1998,NBA,Western Conf Semifinals,"May 4 - May 12, 1998",,Los Angeles Lakers (3),,,Seattle SuperSonics (2),,,LAL (-115),SEA (-105)
1998,NBA,Western Conf Semifinals,"May 5 - May 12, 1998",,Utah Jazz (1),,,San Antonio Spurs (5),,,UTA (-270),SAS (+210)
1998,NBA,Eastern Conf Finals,"May 17 - May 31, 1998",,Chicago Bulls (1),,,Indiana Pacers (3),,,CHI (-600),IND (+400)
1998,NBA,Western Conf Finals,"May 16 - May 24, 1998",,Utah Jazz (1),,,Los Angeles Lakers (3),,,LAL (-130),UTA (+110)
1998,NBA,Finals,"Jun 3 - Jun 14, 1998",,Chicago Bulls (1),,,Utah Jazz (1),,,CHI (-125),UTA (+105)
,,,,,,,,,,,,
1997,NBA,Eastern Conf First Round,"Apr 25 - May 4, 1997",,Atlanta Hawks (4),,,Detroit Pistons (5),,,ATL (-170),DET (+150)
1997,NBA,Eastern Conf First Round,"Apr 25 - Apr 30, 1997",,Chicago Bulls (1),,,Washington Bullets (8),,,CHI (-2500),WSB (+1800)
1997,NBA,Eastern Conf First Round,"Apr 24 - May 4, 1997",,Miami Heat (2),,,Orlando Magic (7),,,MIA (-400),ORL (+300)
1997,NBA,Eastern Conf First Round,"Apr 24 - Apr 28, 1997",,New York Knicks (3),,,Charlotte Hornets (6),,,NYK (-250),CHH (+200)
1997,NBA,Western Conf First Round,"Apr 24 - Apr 29, 1997",,Houston Rockets (3),,,Minnesota Timberwolves (6),,,HOU (-1300),MIN (+800)
1997,NBA,Western Conf First Round,"Apr 25 - May 2, 1997",,Los Angeles Lakers (4),,,Portland Trail Blazers (5),,,LAL (-330),POR (+250)
1997,NBA,Western Conf First Round,"Apr 25 - May 3, 1997",,Seattle SuperSonics (2),,,Phoenix Suns (7),,,SEA (-650),PHO (+450)
1997,NBA,Western Conf First Round,"Apr 24 - Apr 28, 1997",,Utah Jazz (1),,,Los Angeles Clippers (8),,,UTA (-3300),LAC (+2200)
1997,NBA,Eastern Conf Semifinals,"May 6 - May 13, 1997",,Chicago Bulls (1),,,Atlanta Hawks (4),,,CHI (-1700),ATL (+1100)
1997,NBA,Eastern Conf Semifinals,"May 7 - May 18, 1997",,Miami Heat (2),,,New York Knicks (3),,,MIA (-145),NYK (+125)
1997,NBA,Western Conf Semifinals,"May 5 - May 17, 1997",,Houston Rockets (3),,,Seattle SuperSonics (2),,,HOU (-130),SEA (+110)
1997,NBA,Western Conf Semifinals,"May 4 - May 12, 1997",,Utah Jazz (1),,,Los Angeles Lakers (4),,,UTA (-270),LAL (+210)
1997,NBA,Eastern Conf Finals,"May 20 - May 28, 1997",,Chicago Bulls (1),,,Miami Heat (2),,,CHI (-1700),MIA (+1100)
1997,NBA,Western Conf Finals,"May 19 - May 29, 1997",,Utah Jazz (1),,,Houston Rockets (3),,,UTA (-220),HOU (+180)
1997,NBA,Finals,"Jun 1 - Jun 13, 1997",,Chicago Bulls (1),,,Utah Jazz (1),,,CHI (-600),UTA (+400)
Yr,Lg,Series, , ,Team,W, ,Team,W, ,Favorite,Underdog
1996,NBA,Eastern Conf First Round,"Apr 25 - May 5, 1996",,Atlanta Hawks (6),,,Indiana Pacers (3),,,IND (-140),ATL (+120)
1996,NBA,Eastern Conf First Round,"Apr 26 - May 1, 1996",,Chicago Bulls (1),,,Miami Heat (8),,,CHI (-2500),MIA (+1800)
1996,NBA,Eastern Conf First Round,"Apr 25 - May 1, 1996",,New York Knicks (5),,,Cleveland Cavaliers (4),,,CLE (-185),NYK (+165)
1996,NBA,Eastern Conf First Round,"Apr 26 - Apr 30, 1996",,Orlando Magic (2),,,Detroit Pistons (7),,,ORL (-1500),DET (+1000)
1996,NBA,Western Conf First Round,"Apr 25 - May 2, 1996",,Houston Rockets (5),,,Los Angeles Lakers (4),,,LAL (-145),HOU (+125)
1996,NBA,Western Conf First Round,"Apr 26 - May 3, 1996",,San Antonio Spurs (2),,,Phoenix Suns (7),,,SAS (-500),PHO (+350)
1996,NBA,Western Conf First Round,"Apr 26 - May 2, 1996",,Seattle SuperSonics (1),,,Sacramento Kings (8),,,SEA (-2200),SAC (+1500)
1996,NBA,Western Conf First Round,"Apr 25 - May 5, 1996",,Utah Jazz (3),,,Portland Trail Blazers (6),,,UTA (-400),POR (+300)
1996,NBA,Eastern Conf Semifinals,"May 5 - May 14, 1996",,Chicago Bulls (1),,,New York Knicks (5),,,CHI (-3500),NYK (+2200)
1996,NBA,Eastern Conf Semifinals,"May 8 - May 15, 1996",,Orlando Magic (2),,,Atlanta Hawks (6),,,ORL (-150),ATL (+100)
1996,NBA,Western Conf Semifinals,"May 4 - May 12, 1996",,Seattle SuperSonics (1),,,Houston Rockets (5),,,SEA (-200),HOU (+170)
1996,NBA,Western Conf Semifinals,"May 7 - May 16, 1996",,Utah Jazz (3),,,San Antonio Spurs (2),,,UTA (-1000),SAS (+1000)
1996,NBA,Eastern Conf Finals,"May 19 - May 27, 1996",,Chicago Bulls (1),,,Orlando Magic (2),,,CHI (-500),ORL (+350)
1996,NBA,Western Conf Finals,"May 18 - Jun 2, 1996",,Seattle SuperSonics (1),,,Utah Jazz (3),,,SEA (-270),UTA (+210)
1996,NBA,Finals,"Jun 5 - Jun 16, 1996",,Chicago Bulls (1),,,Seattle SuperSonics (1),,,CHI (-950),SEA (+650)
,,,,,,,,,,,,
1995,NBA,Eastern Conf First Round,"Apr 28 - May 4, 1995",,Chicago Bulls (5),,,Charlotte Hornets (4),,,CHI (-360),CHH (+280)
1995,NBA,Eastern Conf First Round,"Apr 27 - May 2, 1995",,Indiana Pacers (2),,,Atlanta Hawks (7),,,IND (-360),ATL (+280)
1995,NBA,Eastern Conf First Round,"Apr 27 - May 4, 1995",,New York Knicks (3),,,Cleveland Cavaliers (6),,,NYK (-400),CLE (+300)
1995,NBA,Eastern Conf First Round,"Apr 28 - May 5, 1995",,Orlando Magic (1),,,Boston Celtics (8),,,ORL (-950),BOS (+650)
1995,NBA,Western Conf First Round,"Apr 27 - May 7, 1995",,Houston Rockets (6),,,Utah Jazz (3),,,UTA (-270),HOU (+210)
1995,NBA,Western Conf First Round,"Apr 27 - May 4, 1995",,Los Angeles Lakers (5),,,Seattle SuperSonics (4),,,SEA (-400),LAL (+300)
1995,NBA,Western Conf First Round,"Apr 28 - May 2, 1995",,Phoenix Suns (2),,,Portland Trail Blazers (7),,,PHO (-400),POR (+300)
1995,NBA,Western Conf First Round,"Apr 28 - May 2, 1995",,San Antonio Spurs (1),,,Denver Nuggets (8),,,SAS (-600),DEN (+400)
1995,NBA,Eastern Conf Semifinals,"May 7 - May 21, 1995",,Indiana Pacers (2),,,New York Knicks (3),,,NYK (-140),IND (+120)
1995,NBA,Eastern Conf Semifinals,"May 7 - May 18, 1995",,Orlando Magic (1),,,Chicago Bulls (5),,,CHI (-185),ORL (+165)
1995,NBA,Western Conf Semifinals,"May 9 - May 20, 1995",,Houston Rockets (6),,,Phoenix Suns (2),,,PHO (-270),HOU (+210)
1995,NBA,Western Conf Semifinals,"May 6 - May 18, 1995",,San Antonio Spurs (1),,,Los Angeles Lakers (5),,,SAS (-600),LAL (+400)
1995,NBA,Eastern Conf Finals,"May 23 - Jun 4, 1995",,Orlando Magic (1),,,Indiana Pacers (2),,,ORL (-200),IND (+170)
1995,NBA,Western Conf Finals,"May 22 - Jun 1, 1995",,Houston Rockets (6),,,San Antonio Spurs (1),,,SAS (-330),HOU (+250)
1995,NBA,Finals,"Jun 7 - Jun 14, 1995",,Houston Rockets (6),,,Orlando Magic (1),,,ORL (-150),HOU (+130)
,,,,,,,,,,,,
1994,NBA,Eastern Conf First Round,"Apr 28 - May 8, 1994",,Atlanta Hawks (1),,,Miami Heat (8),,,ATL (-360),MIA (+280)
1994,NBA,Eastern Conf First Round,"Apr 29 - May 3, 1994",,Chicago Bulls (3),,,Cleveland Cavaliers (6),,,CHI (-250),CLE (+200)
1994,NBA,Eastern Conf First Round,"Apr 28 - May 2, 1994",,Indiana Pacers (5),,,Orlando Magic (4),,,ORL (-170),IND (+150)
1994,NBA,Eastern Conf First Round,"Apr 29 - May 6, 1994",,New York Knicks (2),,,New Jersey Nets (7),,,NYK (-360),NJN (+280)
1994,NBA,Western Conf First Round,"Apr 28 - May 7, 1994",,Denver Nuggets (8),,,Seattle SuperSonics (1),,,SEA (-2000),DEN (+1400)
1994,NBA,Western Conf First Round,"Apr 29 - May 6, 1994",,Houston Rockets (2),,,Portland Trail Blazers (7),,,HOU (-270),POR (+210)
1994,NBA,Western Conf First Round,"Apr 29 - May 4, 1994",,Phoenix Suns (3),,,Golden State Warriors (6),,,PHO (-360),GSW (+280)
1994,NBA,Western Conf First Round,"Apr 28 - May 5, 1994",,Utah Jazz (5),,,San Antonio Spurs (4),,,SAS (-200),UTA (+170)
1994,NBA,Eastern Conf Semifinals,"May 10 - May 19, 1994",,Indiana Pacers (5),,,Atlanta Hawks (1),,,ATL (-160),IND (+140)
1994,NBA,Eastern Conf Semifinals,"May 8 - May 22, 1994",,New York Knicks (2),,,Chicago Bulls (3),,,NYK (-180),CHI (+160)
1994,NBA,Western Conf Semifinals,"May 8 - May 21, 1994",,Houston Rockets (2),,,Phoenix Suns (3),,,HOU (-120),PHO (+100)
1994,NBA,Western Conf Semifinals,"May 10 - May 21, 1994",,Utah Jazz (5),,,Denver Nuggets (8),,,UTA (-650),DEN (+450)
1994,NBA,Eastern Conf Finals,"May 24 - Jun 5, 1994",,New York Knicks (2),,,Indiana Pacers (5),,,NYK (-200),IND (+170)
1994,NBA,Western Conf Finals,"May 23 - May 31, 1994",,Houston Rockets (2),,,Utah Jazz (5),,,HOU (-270),UTA (+210)
1994,NBA,Finals,"Jun 8 - Jun 22, 1994",,Houston Rockets (2),,,New York Knicks (2),,,HOU (-220),NYK (+180)
Yr,Lg,Series, , ,Team,W, ,Team,W, ,Favorite,Underdog
1993,NBA,Eastern Conf First Round,"Apr 29 - May 5, 1993",,Charlotte Hornets (5),,,Boston Celtics (4),,,BOS (-165),CHH (+145)
1993,NBA,Eastern Conf First Round,"Apr 30 - May 4, 1993",,Chicago Bulls (2),,,Atlanta Hawks (7),,,CHI (-1200),ATL (+800)
1993,NBA,Eastern Conf First Round,"Apr 29 - May 9, 1993",,Cleveland Cavaliers (3),,,New Jersey Nets (6),,,CLE (-700),NJN (+500)
1993,NBA,Eastern Conf First Round,"Apr 30 - May 6, 1993",,New York Knicks (1),,,Indiana Pacers (8),,,NYK (-900),IND (+600)
1993,NBA,Western Conf First Round,"Apr 29 - May 8, 1993",,Houston Rockets (2),,,Los Angeles Clippers (7),,,HOU (-600),LAC (+400)
1993,NBA,Western Conf First Round,"Apr 30 - May 9, 1993",,Phoenix Suns (1),,,Los Angeles Lakers (8),,,PHO (-3000),LAL (+2000)
1993,NBA,Western Conf First Round,"Apr 29 - May 7, 1993",,San Antonio Spurs (5),,,Portland Trail Blazers (4),,,POR (-250),SAS (+200)
1993,NBA,Western Conf First Round,"Apr 30 - May 8, 1993",,Seattle SuperSonics (3),,,Utah Jazz (6),,,SEA (-350),UTA (+275)
1993,NBA,Eastern Conf Semifinals,"May 11 - May 17, 1993",,Chicago Bulls (2),,,Cleveland Cavaliers (3),,,CHI (-500),CLE (+350)
1993,NBA,Eastern Conf Semifinals,"May 9 - May 18, 1993",,New York Knicks (1),,,Charlotte Hornets (5),,,NYK (-140),CHH (+140)
1993,NBA,Western Conf Semifinals,"May 11 - May 20, 1993",,Phoenix Suns (1),,,San Antonio Spurs (5),,,PHO (-650),SAS (+450)
1993,NBA,Western Conf Semifinals,"May 10 - May 22, 1993",,Seattle SuperSonics (3),,,Houston Rockets (2),,,SEA (-135),HOU (+115)
1993,NBA,Eastern Conf Finals,"May 23 - Jun 4, 1993",,Chicago Bulls (2),,,New York Knicks (1),,,CHI (-150),NYK (+130)
1993,NBA,Western Conf Finals,"May 24 - Jun 5, 1993",,Phoenix Suns (1),,,Seattle SuperSonics (3),,,PHO (-330),SEA (+250)
1993,NBA,Finals,"Jun 9 - Jun 20, 1993",,Chicago Bulls (2),,,Phoenix Suns (1),,,CHI (-240),PHO (+190)
,,,,,,,,,,,,
1992,NBA,Eastern Conf First Round,"Apr 23 - Apr 27, 1992",,Boston Celtics (2),,,Indiana Pacers (7),,,BOS (-550),IND (+350)
1992,NBA,Eastern Conf First Round,"Apr 24 - Apr 29, 1992",,Chicago Bulls (1),,,Miami Heat (8),,,CHI (-10000),MIA (+7500)
1992,NBA,Eastern Conf First Round,"Apr 23 - Apr 30, 1992",,Cleveland Cavaliers (3),,,New Jersey Nets (6),,,CLE (-850),NJN (+550)
1992,NBA,Eastern Conf First Round,"Apr 24 - May 3, 1992",,New York Knicks (4),,,Detroit Pistons (5),,,NYK (-160),DET (+120)
1992,NBA,Western Conf First Round,"Apr 24 - Apr 29, 1992",,Phoenix Suns (4),,,San Antonio Spurs (5),,,PHO (-1500),SAS (+1000)
1992,NBA,Western Conf First Round,"Apr 23 - May 3, 1992",,Portland Trail Blazers (1),,,Los Angeles Lakers (8),,,POR (-2000),LAL (+1500)
1992,NBA,Western Conf First Round,"Apr 23 - Apr 30, 1992",,Seattle SuperSonics (6),,,Golden State Warriors (3),,,GSW (-270),SEA (+210)
1992,NBA,Western Conf First Round,"Apr 24 - May 4, 1992",,Utah Jazz (2),,,Los Angeles Clippers (7),,,UTA (-450),LAC (+325)
1992,NBA,Eastern Conf Semifinals,"May 5 - May 17, 1992",,Chicago Bulls (1),,,New York Knicks (4),,,CHI (-2500),NYK (+1700)
1992,NBA,Eastern Conf Semifinals,"May 2 - May 17, 1992",,Cleveland Cavaliers (3),,,Boston Celtics (2),,,CLE (-170),BOS (+130)
1992,NBA,Western Conf Semifinals,"May 5 - May 14, 1992",,Portland Trail Blazers (1),,,Phoenix Suns (4),,,POR (-500),PHO (+350)
1992,NBA,Western Conf Semifinals,"May 6 - May 14, 1992",,Utah Jazz (2),,,Seattle SuperSonics (6),,,UTA (-200),SEA (+160)
1992,NBA,Eastern Conf Finals,"May 19 - May 29, 1992",,Chicago Bulls (1),,,Cleveland Cavaliers (3),,,CHI (-650),CLE (+450)
1992,NBA,Western Conf Finals,"May 16 - May 28, 1992",,Portland Trail Blazers (1),,,Utah Jazz (2),,,POR (-360),UTA (+280)
1992,NBA,Finals,"Jun 3 - Jun 14, 1992",,Chicago Bulls (1),,,Portland Trail Blazers (1),,,CHI (-250),POR (+200)
